105/10/18,1000,1830,1.83,1.83,1.83,1.83,0.00,1
105/10/19,1000,1660,1.66,1.66,1.66,1.66,-0.17,1
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,177000,286710,1.61,1.62,1.61,1.62,+0.03,3
105/10/27,177000,288600,1.64,1.64,1.62,1.62,0.00,3
105/10/28,0,0,---,---,---,---,---,0
105/10/31,71000,120700,1.70,1.70,1.70,1.70,+0.05,1
105/11/01,71000,120700,1.70,1.70,1.70,1.70,0.00,1
105/11/02,16000,28800,1.80,1.80,1.80,1.80,+0.10,2
105/11/03,6000,10850,1.80,1.81,1.80,1.81,+0.01,2
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,70000,113400,1.62,1.62,1.62,1.62,+0.01,3
105/11/09,70000,116860,1.68,1.68,1.66,1.68,+0.06,3
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,11000,18480,1.68,1.68,1.68,1.68,+0.03,1
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,3000,5010,1.67,1.67,1.67,1.67,-0.02,1
105/11/23,3000,4860,1.62,1.62,1.62,1.62,-0.05,1
105/11/24,138000,222180,1.61,1.61,1.61,1.61,-0.01,3
105/11/25,138000,216660,1.57,1.57,1.57,1.57,-0.04,3
105/11/28,0,0,---,---,---,---,---,0
105/11/29,194000,306640,1.58,1.61,1.58,1.61,+0.04,4
105/11/30,190000,302100,1.59,1.59,1.59,1.59,-0.02,3
105/12/01,4000,6120,1.53,1.53,1.53,1.53,-0.06,1
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,128000,199680,1.56,1.56,1.56,1.56,0.00,2
105/12/08,128000,194560,1.52,1.52,1.52,1.52,-0.04,2
105/12/09,5000,7600,1.52,1.52,1.52,1.52,0.00,1
105/12/12,0,0,---,---,---,---,---,0
105/12/13,21000,25760,1.26,1.26,1.21,1.21,-0.26,3
105/12/14,20000,24400,1.22,1.22,1.22,1.22,+0.01,1
105/12/15,92000,119600,1.30,1.30,1.30,1.30,+0.08,1
105/12/16,97000,123860,1.28,1.28,1.22,1.22,-0.08,2
105/12/19,0,0,---,---,---,---,---,0
105/12/20,0,0,---,---,---,---,---,0
105/12/21,0,0,---,---,---,---,---,0
105/12/22,177000,191160,1.08,1.08,1.08,1.08,0.00,3
105/12/23,177000,189690,1.07,1.10,1.07,1.10,+0.02,3
105/12/26,19000,20690,1.11,1.11,1.07,1.07,-0.03,2
105/12/27,28000,29210,1.05,1.05,1.04,1.04,-0.03,4
105/12/28,9000,9180,1.02,1.02,1.02,1.02,-0.02,1
105/12/29,0,0,---,---,---,---,---,0
105/12/30,21000,17800,0.83,0.85,0.83,0.84,-0.06,5
