105/08/24,40000,25600,0.64,0.64,0.64,0.64,0.00,2
105/08/25,60000,37200,0.62,0.62,0.62,0.62,-0.02,6
105/08/26,209000,132360,0.63,0.65,0.62,0.62,0.00,15
105/08/29,121000,76010,0.62,0.64,0.62,0.64,+0.02,10
105/08/30,75000,47950,0.63,0.65,0.63,0.63,-0.01,7
105/08/31,66000,40460,0.61,0.62,0.61,0.62,-0.01,5
105/09/01,80000,49300,0.62,0.62,0.61,0.61,-0.01,7
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,136000,83220,0.62,0.62,0.61,0.61,+0.02,4
105/09/08,124000,74160,0.60,0.60,0.59,0.59,-0.02,3
105/09/09,110000,70080,0.63,0.65,0.63,0.65,+0.06,7
105/09/10,117000,67850,0.59,0.59,0.57,0.59,-0.06,9
105/09/12,102000,59560,0.60,0.60,0.58,0.58,-0.01,5
105/09/13,97000,56370,0.60,0.60,0.56,0.58,0.00,6
105/09/14,30000,16900,0.56,0.57,0.56,0.57,-0.01,2
105/09/19,12000,6700,0.56,0.56,0.55,0.55,-0.02,2
105/09/20,0,0,---,---,---,---,---,0
105/09/21,4000,2120,0.53,0.53,0.53,0.53,0.00,1
105/09/22,40000,20000,0.50,0.50,0.50,0.50,-0.03,1
105/09/23,73000,38730,0.54,0.54,0.51,0.51,+0.01,2
105/09/26,329000,190860,0.57,0.60,0.57,0.58,+0.07,14
105/09/29,271000,146240,0.54,0.54,0.53,0.54,-0.04,7
105/09/30,3000,1500,0.50,0.50,0.50,0.50,-0.04,2
105/10/03,50000,24000,0.48,0.48,0.48,0.48,-0.02,1
105/10/04,20000,9400,0.47,0.47,0.47,0.47,-0.01,1
105/10/05,50000,22500,0.45,0.45,0.45,0.45,-0.02,1
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,94000,30380,0.33,0.33,0.32,0.32,-0.05,3
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,30000,9000,0.30,0.30,0.30,0.30,-0.02,1
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,250000,64000,0.25,0.26,0.25,0.26,-0.01,3
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,5000,100,0.02,0.02,0.02,0.02,-0.01,1
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
