105/08/24,20000,223000,11.30,11.30,11.00,11.00,-0.20,2
105/08/25,53000,580400,10.80,11.20,10.80,10.80,-0.20,4
105/08/26,0,0,--,--,--,--,,0
105/08/29,32000,340400,10.80,10.80,10.20,10.20,X,3
105/08/30,3000,30600,10.20,10.20,10.20,10.20,,1
105/08/31,0,0,--,--,--,--,,0
105/09/01,22000,231000,10.50,10.50,10.50,10.50,X,2
105/09/02,20000,200500,10.10,10.10,9.95,9.95,-0.55,2
105/09/05,1000,9700,9.70,9.70,9.70,9.70,-0.25,1
105/09/06,11000,112100,10.20,10.20,10.10,10.10,0.40,2
105/09/07,1000,10500,10.50,10.50,10.50,10.50,0.40,1
105/09/08,10000,103000,10.30,10.30,10.30,10.30,-0.20,1
105/09/09,20000,202000,10.10,10.10,10.10,10.10,-0.20,1
105/09/10,7000,69650,9.95,9.95,9.95,9.95,-0.15,1
105/09/12,10000,97000,9.70,9.70,9.70,9.70,-0.25,1
105/09/13,10000,97500,9.75,9.75,9.75,9.75,0.05,1
105/09/14,0,0,--,--,--,--,,0
105/09/19,41000,405400,9.90,9.90,9.85,9.85,X,5
105/09/20,40000,388000,9.80,9.95,9.50,9.50,-0.35,4
105/09/21,50000,512600,9.70,10.50,9.70,10.50,1.00,6
105/09/22,42000,452400,10.80,10.80,10.70,10.70,0.20,5
105/09/23,0,0,--,--,--,--,,0
105/09/26,2000,20400,10.20,10.20,10.20,10.20,X,2
105/09/29,43000,473300,10.90,11.10,10.90,11.00,0.80,5
105/09/30,43000,464100,10.70,11.00,10.60,10.90,-0.10,6
105/10/03,26000,284200,11.00,11.00,10.80,10.90,,4
105/10/04,20000,217000,10.80,10.90,10.80,10.90,,2
105/10/05,0,0,--,--,--,--,,0
105/10/06,0,0,--,--,--,--,,0
105/10/07,75000,878500,11.80,11.80,11.50,11.50,X,8
105/10/11,50000,603000,12.00,12.30,11.90,12.20,0.70,5
105/10/12,40000,491000,12.40,12.50,12.10,12.10,-0.10,3
105/10/13,42000,497600,12.10,12.10,11.70,11.70,-0.40,6
105/10/14,84000,975800,11.70,11.80,11.50,11.50,-0.20,9
105/10/17,38000,442600,11.60,11.70,11.60,11.70,0.20,6
105/10/18,70000,846700,11.90,12.20,11.90,11.90,0.20,10
105/10/19,53000,647400,12.10,12.30,12.10,12.30,0.40,8
105/10/20,21000,263100,12.60,12.60,12.10,12.10,-0.20,3
105/10/21,63000,769300,12.30,12.30,12.10,12.30,0.20,6
105/10/24,1000,12300,12.30,12.30,12.30,12.30,,1
105/10/25,68000,820200,12.20,12.20,11.80,11.80,-0.50,12
105/10/26,48000,585000,12.10,12.20,12.00,12.20,0.40,8
105/10/27,47000,562500,12.10,12.10,11.70,11.70,-0.50,8
105/10/28,20000,240000,12.10,12.10,11.90,11.90,0.20,2
105/10/31,41000,488000,11.90,12.00,11.90,12.00,0.10,5
105/11/01,0,0,--,--,--,--,,0
105/11/02,78000,920200,11.80,11.90,11.70,11.90,X,8
105/11/03,71000,794800,11.80,11.80,10.70,10.80,-1.10,10
105/11/04,37000,381200,10.10,10.40,10.10,10.40,-0.40,6
105/11/07,10000,102000,10.20,10.20,10.20,10.20,-0.20,1
105/11/08,10000,104000,10.40,10.40,10.40,10.40,0.20,1
105/11/09,82000,842700,10.60,10.60,9.55,9.55,-0.85,9
105/11/10,11000,111950,9.95,10.20,9.95,10.20,0.65,2
105/11/11,32000,302950,9.60,9.60,9.40,9.40,-0.80,5
105/11/14,50000,442650,9.20,9.20,8.75,8.85,-0.55,7
105/11/15,39000,349000,8.90,9.00,8.80,9.00,0.15,5
105/11/16,65000,597750,9.20,9.25,9.15,9.15,0.15,7
105/11/17,20000,180000,9.00,9.00,9.00,9.00,-0.15,2
105/11/18,57000,554800,9.55,10.30,9.55,10.00,1.00,8
105/11/21,41000,403850,9.90,9.90,9.80,9.85,-0.15,5
105/11/22,20000,197000,10.00,10.00,9.70,9.70,-0.15,2
105/11/23,20000,196500,9.80,9.85,9.80,9.85,0.15,2
105/11/24,80000,792000,9.85,10.00,9.85,10.00,0.15,8
