105/08/24,4000,92900,23.25,23.25,23.15,23.15,-0.05,4
105/08/25,1000,23150,23.15,23.15,23.15,23.15,,1
105/08/26,3000,69400,23.10,23.15,23.10,23.15,,3
105/08/29,3000,69800,23.15,23.55,23.10,23.55,0.40,3
105/08/30,0,0,--,--,--,--,,0
105/08/31,0,0,--,--,--,--,,0
105/09/01,9000,209850,23.15,23.40,23.15,23.40,X,5
105/09/02,0,0,--,--,--,--,,0
105/09/05,30000,704250,23.30,23.85,23.25,23.25,X,11
105/09/06,6000,140400,23.30,23.60,23.30,23.60,0.35,4
105/09/07,15000,349350,23.35,23.35,23.25,23.25,-0.35,9
105/09/08,4000,93750,23.50,23.50,23.30,23.45,0.20,4
105/09/09,0,0,--,--,--,--,,0
105/09/10,3000,69900,23.30,23.30,23.30,23.30,X,1
105/09/12,2000,46700,23.40,23.40,23.30,23.30,,2
105/09/13,17000,403100,23.30,24.00,23.30,24.00,0.70,8
105/09/14,0,0,--,--,--,--,,0
105/09/19,0,0,--,--,--,--,,0
105/09/20,20000,476000,23.80,23.80,23.80,23.80,X,6
105/09/21,1000,23800,23.80,23.80,23.80,23.80,,1
105/09/22,0,0,--,--,--,--,,0
105/09/23,0,0,--,--,--,--,,0
105/09/26,14000,327250,23.40,23.40,23.30,23.40,X,5
105/09/29,35000,822500,23.50,23.50,23.50,23.50,0.10,7
105/09/30,47000,1109200,23.60,23.60,23.60,23.60,0.10,10
105/10/03,6000,141900,23.70,23.70,23.60,23.60,,6
105/10/04,5000,118500,23.70,23.70,23.70,23.70,0.10,4
105/10/05,16000,379200,23.70,23.75,23.60,23.60,-0.10,7
105/10/06,0,0,--,--,--,--,,0
105/10/07,1000,23600,23.60,23.60,23.60,23.60,X,1
105/10/11,25000,591900,23.80,23.80,23.60,23.60,,10
105/10/12,15000,354000,23.60,23.60,23.60,23.60,,5
105/10/13,20000,473900,23.65,23.70,23.65,23.70,0.10,6
105/10/14,16000,379400,23.70,23.80,23.70,23.80,0.10,8
105/10/17,3000,71100,23.70,23.70,23.70,23.70,-0.10,3
105/10/18,2000,47850,23.95,23.95,23.90,23.90,0.20,2
105/10/19,0,0,--,--,--,--,,0
105/10/20,28000,668600,23.90,24.15,23.80,24.15,X,9
105/10/21,0,0,--,--,--,--,,0
105/10/24,30000,720650,24.10,24.15,24.00,24.00,X,8
105/10/25,4000,96000,24.00,24.00,24.00,24.00,,2
105/10/26,0,0,--,--,--,--,,0
105/10/27,0,0,--,--,--,--,,0
105/10/28,0,0,--,--,--,--,,0
105/10/31,6000,144500,23.85,24.40,23.85,24.00,X,4
105/11/01,2000,48300,24.15,24.15,24.15,24.15,0.15,2
105/11/02,31000,748100,24.10,24.30,24.10,24.30,0.15,12
105/11/03,22000,528650,24.10,24.10,23.90,23.90,-0.40,10
105/11/04,5000,119500,23.90,23.90,23.90,23.90,,1
105/11/07,17000,410350,23.95,24.30,23.95,24.30,0.40,13
105/11/08,4000,96800,24.80,24.80,24.00,24.00,-0.30,3
105/11/09,45000,1082000,24.10,24.10,24.00,24.00,,16
